"Sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Agriculture",166255,332021.75,496679.25,660242.5,824841.75,990132.5,1154377,1316343.75,1479285,1643715,1808280,1973862.75,2140086.5,2305866,2474247,2643959.5,2814945.75,2987625.75,3161044.75,3334120,3508687.5,3685965.25,3863723.5,4039689.5,4216729.5,4395850.75,4576726.5
"Building",5795.6,11673.4,17294.7,23039.5,28578.7,34280.5,40174.2,45982.7,51472.9,57094.2,62672,68338,73973,79800.6,85707.2,91623.1,97463.6,103212.6,109136.8,114949.1,120891.8,126666.1,132355.3,138265.1,144011.5,149807.9,155695.9
"Electricity",18589.6,37432.1,56564.1,75734.8,95105.5,114867.2,135365.6,156347.1,177765.8,199236.4,221537.3,244365,267579.8,292070.2,317307.9,343309.1,370294.9,398451.9,426548.3,454153.3,483538.2,514055.2,545157.6,576740.3,608114.8,639099.6,670014.8
"Fugitive",107890.41,212612.4,313822.66,413327.21,509395.93,605184.98,701886.18,798982.47,895834.81,993692.96,1093954.1,1197276.33,1302522.69,1412244.04,1524805.32,1639521.72,1758627.65,1881012.96,2007709.31,2134303.12,2264583.23,2396470.54,2529182.86,2662274.41,2795758.63,2929371.6,3063091.57
"Industry",301.25,584.25,865,1138,1446.75,1753.75,2060.75,2387.5,2716.75,3065.25,3560.5,4047.5,4538,5041.75,5546.5,6047.5,6553.75,7074.25,7573.75,8042,8528.25,9012.5,9495.5,9978.5,10470.75,10962.25,11459.5
"Landuse",31496.88,62993.62,94490.85,125988.16,157485.49,188982.84,212970.71,251189.8,283361.6,309263.03,330873.98,353925.85,390661.39,423880.94,461550.08,495017.3,529173.43,557808.68,584442.19,615450.89,643194.74,671231.72,701240.75,729000.78,760105.21,796315.21,823104.54
"manufacturing",8538.9,16846,24825.1,32686,40599.3,48981,57138.8,65345.9,73519.6,81361.4,89562.4,97798.1,106010,114602.1,124056.8,134335,145086.2,156389.3,167982,179453,191865.9,204739.6,217574.7,230472.2,243425.3,256231.8,268740.9
"Otherfuel",20712.05,41717.6,62166.4,82714.45,102917.55,122842.45,143015.65,163230.9,183338.05,203571.95,223441.2,243831.95,264476.55,285528.95,306916.15,328261.95,349930.25,371953.55,394414.55,417211.4,440506.95,464528.65,489672.25,516306.45,543804.35,572240.15,600893.75
"Transport",9168.5,18422.7,27867.6,37404.6,47110.4,57064.5,67425.3,77926.4,88665.7,99699.6,111064.6,122539.5,134263.6,146260.4,158751.3,171462.8,184426.9,197767.2,211098.7,224185.3,237763.6,251518,265415.9,279687.5,294185.3,309076.1,324275.1
"Waste",68272.25,138182,209321.75,281793.75,355319,428953,502479.75,575580.75,648027.5,720138.5,792129.75,863251.5,933913.5,1004163.25,1073601,1142321.75,1211384.5,1280626.75,1349895.25,1419366.75,1489166.5,1558910.75,1628961.5,1699210,1770804.75,1843746.25,1917381.5
