Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Agriculture,10560.02,21066.14,31502.41,41865.53,52298.68,62838.73,73368.96,83757.46,94250.01,104848.6,115428.63,126137.27,136917.28,147676.01,158649.99,169690.67,180825.23,192139.49,203476.34,214794.32,226264.99,237998.97,249763.64,261410.73,273151.95,285025.37,297003.87
Bunker,1387,2788.8,4265,5727.1,7241.8,8804.8,10416.8,12093,13821.7,15620.8,17485.1,19287.5,21163.5,23061.1,25119.1,27278.6,29552.8,31931.7,34333.6,36594,38985.2,41420.5,43762.9,46114.4,48539.9,51075.4,53710.9
Industry,2112.51,4224.69,6436.93,8680.45,11152.08,13774.82,16511.2,19333.62,22144.94,24959.48,27893.71,30874.12,33984.75,37251.42,40722.82,44363.26,48266.31,52432.83,56684.45,61018.93,65614.38,70508.43,75562.46,80825.79,86327.14,91846.56,97530.09
Landuse,8091.87,16183.6,24275.92,32368.32,40460.73,48553.17,55593.72,64567.93,72409.07,79502.92,86227.92,93871.75,103456.14,112348.04,121883.57,130902.41,138363.73,144828.63,151216.71,158247.63,164580.21,170949.73,177452.61,183752.07,190471.84,197862.57,203862.54
Waste,2892.42,5849.62,8854.98,11913.23,15024,18145.95,21270.38,24384.67,27480.73,30570.61,33663.98,36727.43,39778.34,42818.19,45830.19,48818.76,51826.53,54846.63,57873.03,60912.14,63969.99,67028.96,70103.57,73189.35,76331.92,79531.27,82761.44
Building,5795.6,11673.4,17294.7,23039.5,28578.7,34280.5,40174.2,45982.7,51472.9,57094.2,62672,68338,73973,79800.6,85707.2,91623.1,97463.6,103212.6,109136.8,114949.1,120891.8,126666.1,132355.3,138265.1,144011.5,149807.9,155695.9
Electricity,18589.6,37432.1,56564.1,75734.8,95105.5,114867.2,135365.6,156347.1,177765.8,199236.4,221537.3,244365,267579.8,292070.2,317307.9,343309.1,370294.9,398451.9,426548.3,454153.3,483538.2,514055.2,545157.6,576740.3,608114.8,639099.6,670014.8
Fugitive,4637.24,9281.73,13727.99,18101.61,22339.18,26595.99,30913.19,35195.17,39438.17,43707.02,48061.58,52504.6,57038.81,61749.41,66598.49,71619.43,76805.31,82131.5,87668.32,93184.11,98807.1,104507.01,110255.09,116018.78,121818.29,127626.76,133439.86
Manufacturing,8538.9,16846,24825.1,32686,40599.3,48981,57138.8,65345.9,73519.6,81361.4,89562.4,97798.1,106010,114602.1,124056.8,134335,145086.2,156389.3,167982,179453,191865.9,204739.6,217574.7,230472.2,243425.3,256231.8,268740.9
Otherfuel,2852.71,5719.43,8399.44,11121.54,13782.18,16345.65,18787.93,21324.87,23815.15,26318.55,28694.89,31111.97,33549.08,36029.32,38598.65,41201.17,43836.9,46488.22,49146.59,51834.92,54564.32,57286.96,60099.74,62996.32,65929.68,68896.88,71856.77
Transport,9168.5,18422.7,27867.6,37404.6,47110.4,57064.5,67425.3,77926.4,88665.7,99699.6,111064.6,122539.5,134263.6,146260.4,158751.3,171462.8,184426.9,197767.2,211098.7,224185.3,237763.6,251518,265415.9,279687.5,294185.3,309076.1,324275.1
