"Country","Flag","02/03/2020","03/03/2020","04/03/2020","05/03/2020","06/03/2020","07/03/2020","08/03/2020","09/03/2020","10/03/2020","11/03/2020","12/03/2020","13/03/2020","14/03/2020","15/03/2020","16/03/2020","17/03/2020","18/03/2020","19/03/2020","20/03/2020","21/03/2020","22/03/2020","23/03/2020","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/03/2020","31/03/2020","01/04/2020","02/04/2020"
"Bahamas","https://www.countryflags.io/bs/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,5,9,9,11,14,14,15,21
"Barbados","https://www.countryflags.io/bb/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,14,17,17,18,18,24,24,26,33,34,34,45
"Belize","https://www.countryflags.io/bz/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3
"Dominican_Republic","https://www.countryflags.io/do/flat/64.png",1,1,1,1,1,2,2,2,5,5,5,5,11,11,11,11,11,21,21,34,112,202,245,312,392,488,581,719,859,901,1109,1284
"Guyana","https://www.countryflags.io/gy/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,8,8,8,12,19
"Haiti","https://www.countryflags.io/ht/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,7,8,8,8,8,15,15,15,16
"Jamaica","https://www.countryflags.io/jm/flat/64.png",0,0,0,0,0,0,0,0,0,0,2,6,8,8,10,10,13,15,16,19,19,19,19,21,25,26,26,32,34,38,38,44
"Antigua_and_Barbuda","https://www.countryflags.io/ag/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,7,7,7,7,7,7,7
"Dominica","https://www.countryflags.io/dm/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,11,11,11,11,11,12
"Grenada","https://www.countryflags.io/gd/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,9,9,9,9,10
"Saint_Kitts_and_Nevis","https://www.countryflags.io/kn/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,8,8
"Saint_Lucia","https://www.countryflags.io/lc/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,9,9,13,13
"Saint_Vincent_and_the_Grenadines","https://www.countryflags.io/vc/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Sint_Maarten","https://www.countryflags.io/sx/flat/64.png",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,6,16
"Suriname","https://www.countryflags.io/sr/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,5,6,8,8,8,8,8,8,8,10,10
"Trinidad_and_Tobago","https://www.countryflags.io/tt/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,7,9,9,9,49,50,51,57,60,65,66,74,78,85,87,89
